gu_code,monthly_rent,deposit,build_year,year,month,day,dong,apt_name,area,floor,jibun,contract_type,contract_term,prev_deposit,prev_monthly_rent
11650,80,"52,000",1989,2025,5,14,잠원동,한강,84.53,5,49-8,,,,
11650,0,"160,000",2025,2025,5,31,잠원동,메이플자이,84.2537,11,60-3,,,,
11650,0,"130,000",2025,2025,5,13,방배동,래미안원페를라,84.68,2,818-14,,,,
11650,300,"30,000",2004,2025,5,20,방배동,래미안방배아트힐(1008-2),127.61,16,1008-2,,,,
11650,390,"40,000",2003,2025,5,31,서초동,서초래미안,111.32,9,1682,,,,
11650,0,"73,000",2003,2025,5,31,방배동,삼성래미안1,59.9,4,2626,,,,
11650,200,"35,000",2015,2025,5,31,신원동,서초포레스타6단지,84.79,2,619,,,,
11650,0,"87,000",2001,2025,5,7,방배동,금강프리빌,93.07,8,940-8,,,,
11650,0,"50,400",2013,2025,5,29,우면동,호반써밋서초파크,51.89,17,788,,,,
11650,0,"136,500",2010,2025,5,23,반포동,반포리체,84.967,15,30-26,,,,
11650,0,"50,000",1975,2025,5,31,방배동,삼호1동~3동,80.33,10,770-1,,,,
11650,200,"40,000",1989,2025,5,26,잠원동,한강,84.53,3,49-8,,,,
11650,0,"168,000",2025,2025,5,30,잠원동,메이플자이,84.2537,15,60-3,,,,
11650,0,"34,170",2019,2025,5,27,서초동,DK밸리뷰시티,25.57,10,1584-6,,,,
11650,140,"40,000",2022,2025,5,30,반포동,더샵반포리버파크,49.55,3,114-1,,,,
11650,230,"3,000",1978,2025,5,14,잠원동,신반포2,93.71,1,73,,,,
11650,0,"107,000",2005,2025,5,15,서초동,서초2차e-편한세상,116.745,4,1529,,,,
11650,90,"70,000",2025,2025,5,28,잠원동,메이플자이,43.0502,18,60-3,,,,
11650,0,"68,000",1989,2025,5,31,반포동,반포미도2차아파트,71.49,11,60-5,,,,
11650,0,"34,000",2020,2025,5,31,서초동,디아레나서초,27.39,9,1588-5,,,,
11650,0,"135,000",2001,2025,5,24,서초동,서초삼성래미안,121.66,11,1641-1,,,,
