gu_code,price,trade_type,build_year,year,month,day,dong,apt_name,area,floor,jibun
11560,"92,300",중개거래,1983,2024,5,24,당산동4가,유원제일,64.08,10,91
11560,"101,500",중개거래,1983,2024,5,15,당산동4가,유원제일,84.78,6,91
11560,"116,000",중개거래,2014,2024,5,31,도림동,영등포아트자이,84.974,12,821
11560,"134,000",중개거래,2003,2024,5,31,문래동3가,문래힐스테이트,84.92,5,94
11560,"72,300",중개거래,1983,2024,5,29,신길동,우창,62.84,6,4501
11560,"130,000",중개거래,2003,2024,5,24,당산동3가,동부센트레빌,134.83,4,561
11560,"108,800",중개거래,2003,2024,5,24,당산동3가,동부센트레빌,94.75,1,561
11560,"80,500",중개거래,2000,2024,5,30,양평동3가,삼천리,59.95,9,24
11560,"86,500",중개거래,1998,2024,5,31,대림동,코오롱,84.93,7,607-1
11560,"76,000",중개거래,1992,2024,5,24,대림동,현대1,84.75,17,785-1
11560,"77,500",중개거래,1998,2024,5,25,양평동2가,삼성래미안,59.4,7,38-1
11560,"87,200",중개거래,2005,2024,5,29,신길동,보라매경남아너스빌,59.78,7,4780
11560,"105,000",중개거래,1998,2024,5,25,양평동2가,삼성래미안,84.69,15,38-1
11560,"20,000",중개거래,1984,2024,5,31,양평동4가,약산,36.55,3,160-2
11560,"168,000",중개거래,2005,2024,5,22,여의도동,롯데캐슬엠파이어,108.18,3,36
11560,"222,000",중개거래,1976,2024,5,25,여의도동,공작,93.06,7,21-2
11560,"115,000",중개거래,2014,2024,5,31,도림동,영등포아트자이,84.854,21,821
11560,"267,000",중개거래,1978,2024,5,28,여의도동,광장,150.71,3,28
11560,"115,800",중개거래,2022,2024,5,24,신길동,신길파크자이,59.95,27,4967
11560,"111,000",중개거래,2020,2024,5,31,신길동,보라매에스케이뷰,59.98,1,4958
11560,"225,000",중개거래,1976,2024,5,29,여의도동,공작,93.06,10,21-2
11560,"168,000",중개거래,2020,2024,5,29,당산동5가,당산센트럴아이파크,84.98,12,43
11560,"103,000",중개거래,2002,2024,5,29,당산동4가,당산금호어울림,84.25,1,95
11560,"149,000",중개거래,1984,2024,5,30,당산동5가,유원제일2차,123.76,8,7-2
11560,"136,000",중개거래,1995,2024,5,15,당산동,래미안당산1차,114.79,11,374
11560,"67,000",중개거래,1987,2024,5,18,문래동6가,현대2차,59.31,15,45
11560,"87,000",중개거래,1999,2024,5,25,양평동3가,거성파스텔,59.96,8,90-1
11560,"330,000",중개거래,1971,2024,5,30,여의도동,시범,156.99,4,50
11560,"125,000",중개거래,2017,2024,5,31,영등포동7가,아크로타워스퀘어,59.91,27,203
11560,"75,000",중개거래,1992,2024,5,16,대림동,현대1,84.75,5,785-1
11560,"114,500",중개거래,2014,2024,5,27,도림동,영등포아트자이,84.974,30,821
11560,"97,000",중개거래,1998,2024,5,27,영등포동7가,경남아너스빌,84.93,19,46-1
11560,"87,500",중개거래,1998,2024,5,21,영등포동7가,경남아너스빌,59.9,14,46-1
11560,"142,000",중개거래,2017,2024,5,21,신길동,래미안에스티움,84.97,10,4950
11560,"313,000",중개거래,2008,2024,5,21,여의도동,여의도자이,182.45,35,47
11560,"101,000",중개거래,2022,2024,5,19,신길동,더샵파크프레스티지,59.8635,7,4974
11560,"116,000",중개거래,2015,2024,5,22,신길동,래미안영등포프레비뉴,84.98,1,4945
11560,"170,000",중개거래,1971,2024,5,22,여의도동,시범,60.96,10,50
11560,"74,000",중개거래,1986,2024,5,31,문래동6가,현대1차,64.38,8,46
11560,"80,000",중개거래,1998,2024,5,31,영등포동7가,경남아너스빌,59.9,2,46-1
11560,"67,800",중개거래,1988,2024,5,15,문래동5가,문래두산위브,65.46,7,14
11560,"103,000",중개거래,2002,2024,5,25,당산동,강변래미안,55.91,5,376
11560,"368,500",중개거래,1975,2024,5,23,여의도동,삼부,175.8,5,30-2
11560,"97,000",중개거래,1997,2024,5,29,신길동,삼환,84.84,9,897-1
11560,"243,000",중개거래,1975,2024,5,30,여의도동,삼부,77.69,14,30-2
11560,"280,000",중개거래,1978,2024,5,21,여의도동,광장,150.71,11,28
11560,"71,000",중개거래,1988,2024,5,27,문래동5가,문래두산위브,65.46,10,14
11560,"100,000",중개거래,1997,2024,5,22,대림동,현대3차,140.54,20,608-1
11560,"105,000",중개거래,1999,2024,5,17,양평동3가,거성파스텔,84.99,14,90-1
11560,"148,000",중개거래,2017,2024,5,25,신길동,래미안에스티움,84.93,17,4950
11560,"115,000",중개거래,1998,2024,5,31,영등포동7가,경남아너스빌,114.77,2,46-1
11560,"116,500",중개거래,2017,2024,5,27,신길동,래미안에스티움,59.95,18,4950
11560,"110,000",중개거래,2002,2024,5,30,당산동,강변래미안,79.43,5,376
11560,"143,000",중개거래,2021,2024,5,22,신길동,신길센트럴자이아파트,84.98,19,4964
11560,"105,000",중개거래,2002,2024,5,24,당산동4가,당산금호어울림,84.25,4,95
11560,"54,500",중개거래,1987,2024,5,18,문래동6가,현대2차,41.04,11,45
11560,"185,000",중개거래,2003,2024,5,31,당산동5가,당산삼성래미안4차,133.42,15,42
11560,"116,900",중개거래,2020,2024,5,13,신길동,힐스테이트클래시안,59.87,15,4969
11560,"12,500",중개거래,2012,2024,5,29,영등포동7가,훼미리하우스117,16.98,12,94-51
11560,"124,500",중개거래,2017,2024,5,29,영등포동7가,아크로타워스퀘어,59.91,3,203
11560,"118,000",중개거래,2021,2024,5,11,신길동,신길센트럴자이아파트,59.98,11,4964
11560,"77,000",중개거래,1997,2024,5,30,대림동,현대3차,59.83,17,608-1
11560,"106,000",중개거래,2002,2024,5,28,영등포동,영등포푸르지오,79.777,12,647
11560,"69,000",중개거래,1992,2024,5,31,대림동,현대1,84.75,4,785-1
11560,"128,300",중개거래,2001,2024,5,24,문래동3가,문래자이,84.98,1,54
11560,"121,000",중개거래,2002,2024,5,30,당산동,강변래미안,79.43,14,376
11560,"97,000",중개거래,1999,2024,5,29,양평동3가,거성파스텔,84.99,2,90-1
11560,"107,500",중개거래,2002,2024,5,31,영등포동,영등포푸르지오,79.777,6,647
11560,"210,000",중개거래,1974,2024,5,17,여의도동,은하,121.52,2,52
11560,"65,000",중개거래,1982,2024,5,13,양평동1가,신동아,50.81,1,20
11560,"146,800",중개거래,2020,2024,5,13,신길동,힐스테이트클래시안,84.86,6,4969
11560,"176,500",중개거래,2003,2024,5,24,당산동5가,당산삼성래미안4차,133.42,4,42
11560,"212,000",중개거래,2005,2024,5,10,여의도동,롯데캐슬엠파이어,163.86,11,36
11560,"95,000",중개거래,2020,2024,5,25,대림동,e편한세상영등포아델포레,59.9792,6,1127
11560,"56,000",중개거래,1999,2024,5,21,양평동2가,상록수,59.67,11,45
11560,"150,000",중개거래,2017,2024,5,29,영등포동7가,아크로타워스퀘어,71.98,35,203
11560,"70,500",중개거래,1999,2024,5,27,신길동,경남,59.96,8,67-1
11560,"134,500",중개거래,2020,2024,5,26,영등포동7가,포레나영등포센트럴,84.8025,19,208
11560,"87,000",중개거래,2004,2024,5,28,영등포동7가,브라운스톤영등포,84.9,13,202
11560,"118,300",중개거래,2021,2024,5,30,신길동,신길센트럴자이아파트,59.98,6,4964
11560,"22,300",중개거래,1972,2024,5,20,신길동,대방,37.96,1,4312
11560,"105,000",중개거래,2000,2024,5,30,양평동3가,양평현대6차,84.94,10,101
11560,"94,500",중개거래,2005,2024,5,25,신길동,보라매경남아너스빌,84.79,9,4780
11560,"10,000",직거래,2014,2024,5,28,영등포동3가,포레스트힐시티,13.53,12,19-2
11560,"134,000",중개거래,2002,2024,5,18,당산동,강변래미안,79.05,9,376
11560,"88,000",중개거래,1999,2024,5,16,영등포동8가,삼환,59.91,4,76-1
11560,"115,900",중개거래,2020,2024,5,31,신길동,보라매에스케이뷰,59.98,6,4958
11560,"74,700",중개거래,1998,2024,5,29,양평동2가,삼성래미안,59.4,3,38-1
11560,"155,000",중개거래,2017,2024,5,24,영등포동7가,아크로타워스퀘어,84.71,17,203
11560,"115,000",중개거래,2020,2024,5,19,대림동,e편한세상영등포아델포레,84.9571,8,1127
11560,"125,000",중개거래,2015,2024,5,29,신길동,래미안영등포프레비뉴,84.98,1,4945
11560,"71,800",중개거래,1995,2024,5,12,대림동,성원(650),84.66,6,650
11560,"144,000",중개거래,1984,2024,5,28,당산동5가,유원제일2차,123.76,3,7-2
11560,"113,500",중개거래,2017,2024,5,13,신길동,래미안에스티움,59.95,10,4950
11560,"10,800",중개거래,2012,2024,5,28,신길동,여의도리버뷰,12.96,3,4942
11560,"135,000",중개거래,2020,2024,5,29,영등포동7가,포레나영등포센트럴,84.8025,26,208
11560,"75,300",중개거래,1998,2024,5,14,대림동,코오롱,59.94,17,607-1
11560,"10,000",중개거래,2013,2024,5,25,대림동,쌍용플래티넘S,18.24,9,717
11560,"74,500",중개거래,1998,2024,5,12,대림동,코오롱,59.94,21,607-1
11560,"156,500",중개거래,2017,2024,5,30,영등포동7가,아크로타워스퀘어,84.71,14,203
11560,"90,000",중개거래,1999,2024,5,26,양평동3가,거성파스텔,71.1,23,90-1
11560,"103,500",중개거래,1994,2024,5,11,당산동2가,당산2가현대홈타운,82.77,13,164
11560,"76,500",중개거래,1997,2024,5,20,대림동,현대3차,59.83,13,608-1
11560,"14,300",중개거래,2013,2024,5,22,신길동,프리가,16.09,9,65-21
11560,"14,500",중개거래,2013,2024,5,24,신길동,프리가,16.09,10,65-21
11560,"100,000",직거래,2022,2024,5,20,신길동,더샵파크프레스티지,84.9626,3,4974
11560,"111,000",중개거래,2002,2024,5,17,영등포동,영등포푸르지오,79.777,7,647
11560,"139,600",중개거래,2020,2024,5,22,당산동5가,당산센트럴아이파크,59.98,18,43
11560,"138,500",중개거래,2020,2024,5,15,당산동5가,당산센트럴아이파크,59.98,10,43
11560,"154,000",중개거래,2017,2024,5,29,영등포동7가,아크로타워스퀘어,84.69,19,203
11560,"120,000",중개거래,2020,2024,5,30,신길동,힐스테이트클래시안,59.87,6,4969
11560,"103,500",중개거래,1994,2024,5,22,당산동2가,당산2가현대홈타운,82.77,12,164
11560,"142,000",중개거래,2020,2024,5,18,신길동,보라매에스케이뷰,84.98,10,4958
11560,"127,000",중개거래,2017,2024,5,11,영등포동7가,아크로타워스퀘어,59.7,30,203
11560,"102,000",중개거래,2002,2024,5,20,영등포동,영등포푸르지오,84.84,1,647
11560,"109,000",중개거래,1999,2024,5,24,영등포동8가,삼환,84.87,13,76-1
11560,"89,900",중개거래,2000,2024,5,18,양평동3가,양평현대6차,59.98,19,101
11560,"98,200",중개거래,2005,2024,5,28,신길동,보라매경남아너스빌,84.79,4,4780
11560,"104,500",중개거래,2003,2024,5,27,당산동3가,동부센트레빌,82.19,2,561
11560,"124,200",중개거래,2017,2024,5,26,영등포동7가,아크로타워스퀘어,59.91,18,203
11560,"13,800",중개거래,2013,2024,5,25,당산동,THESILK,20.51,7,121-132
11560,"113,000",중개거래,2003,2024,5,21,당산동3가,동부센트레빌,82.19,18,561
11560,"98,700",중개거래,2020,2024,5,5,문래동6가,e편한세상 문래 에듀플라츠,59.9854,11,58
11560,"112,700",중개거래,2017,2024,5,4,신길동,래미안에스티움,59.95,4,4950
11560,"120,000",중개거래,1999,2024,5,29,영등포동8가,삼환,114.7,21,76-1
11560,"69,000",중개거래,1996,2024,5,21,문래동6가,문래미원,59.4,6,54
11560,"124,400",중개거래,2017,2024,5,15,영등포동7가,아크로타워스퀘어,59.7,8,203
11560,"187,000",중개거래,2017,2024,5,21,영등포동7가,아크로타워스퀘어,115.58,13,203
11560,"322,000",중개거래,1971,2024,5,20,여의도동,시범,156.99,3,50
